Time (s)	Velocity (mph)
734	26.3461304
735	26.5325417
736	26.7810901
737	27.1539127
738	27.340324
739	27.4024611
740	28.1481063
741	28.8316144
742	29.3287112
743	29.3908483
744	29.4529854
745	29.4529854
746	29.5151225
747	29.7636709
748	30.1986306
749	30.6957274
750	30.9442758
751	30.9442758
752	30.8821387
753	30.6335903
754	30.1364935
755	29.5772596
756	28.7694773
757	27.1539127
758	24.4198803
759	21.1887511
760	18.019759
761	14.7264927
762	11.4332264
763	8.8856053
764	7.456452
765	7.9535488
766	9.941936
767	11.8681861
768	13.9187104
769	15.9070976
770	18.7032671
771	21.9343963
772	24.7927029
773	27.6510095
774	29.5151225
775	31.6277839
776	33.6161711
777	34.9831873
778	36.1016551
779	37.1579858
780	37.9657681
781	38.5871391
782	39.0220988
783	39.3327843
784	39.5191956
785	39.767744
786	40.2027037
787	40.5133892
788	40.5755263
789	40.5755263
790	40.6376634
791	40.8240747
792	41.010486
793	40.7619376
794	39.4570585
795	37.0958487
796	33.9268566
797	30.6335903
798	27.8995579
799	26.2839933
800	25.7247594
801	25.6626223
802	26.1597191
803	27.7752837
804	30.0743564
805	31.9384694
806	32.7462517
807	32.932663
808	32.6219775
809	31.8763323
810	30.8821387
811	29.4529854
812	27.1539127
813	24.6684287
814	22.0586705
815	19.3246381
816	16.3420573
817	13.6080249
818	11.184678
819	10.563307
820	11.184678
821	13.2973394
822	15.4100008
823	17.3362509
824	19.1382268
825	20.505243
826	21.8101221
827	23.0528641
828	24.1713319
829	25.7247594
830	27.340324
831	28.7694773
832	29.6393967
833	29.9500822
834	30.2607677
835	30.6335903
836	30.9442758
837	31.1928242
838	31.6277839
839	32.1870178
840	32.6219775
841	33.1190743
842	33.8647195
843	34.6103647
844	35.1074615
845	35.2938728
846	35.418147
847	35.5424212
848	35.8531067
849	36.4744777
850	37.3443971
851	37.9657681
852	38.3385907
853	38.7114133
854	39.0842359
855	39.3327843
856	39.3949214
857	39.4570585
858	40.0784295
859	40.8862118
860	41.5075828
861	41.8804054
862	42.7503248
863	44.1794781
864	44.9251233
865	45.2358088
866	45.6086314
867	46.3542766
868	47.224196
869	47.5970186
870	47.5348815
871	47.3484702
872	47.0999218
873	46.8513734
874	46.4785508
875	45.9193169
876	45.1736717
877	44.3037523
878	43.7445184
879	43.49597
880	43.49597
881	42.874599
882	42.253228
883	42.253228
884	42.253228
885	42.3153651
886	42.5017764
887	42.6260506
888	42.6881877
889	42.5639135
890	42.3153651
891	41.8182683
892	41.1347602
893	40.2648408
894	39.5191956
895	38.8978246
896	38.5871391
897	38.4628649
898	38.4628649
899	38.4007278
900	38.2143165
901	37.8414939
902	37.0958487
903	33.9268566
904	30.6335903
905	27.8995579
906	26.2839933
907	25.7247594
908	25.6626223
909	26.1597191
910	27.7752837
911	30.0743564
912	31.9384694
913	32.7462517
914	33.554034
915	35.418147
916	36.1016551
917	36.7851632
918	36.660889
919	36.7230261
920	36.9715745
921	37.5929455
922	38.7114133
923	39.7056069
924	40.4512521
925	39.8298811
926	38.9599617
927	38.525002
928	38.0900423
929	37.8414939
930	37.5929455
931	37.4065342
932	37.1579858
933	36.9094374
934	36.4123406
935	35.7288325
936	35.1695986
937	34.796776
938	34.4860905
939	34.175405
940	33.8025824
941	33.6161711
942	33.554034
943	33.4918969
944	33.4918969
945	33.554034
946	33.6783082
947	34.175405
948	34.6725018
949	34.9210502
950	34.8589131
951	34.2375421
952	32.7462517
953	30.0743564
954	26.7810901
955	23.4878238
956	20.1945575
957	16.9012912
958	15.5964121
959	16.155646
960	18.2061703
961	21.4994366
962	25.1033884
963	28.1481063
964	30.447179
965	31.7520581
966	32.3734291
967	32.4355662
968	32.3734291
969	32.1248807
970	31.6277839
971	30.5714532
972	28.5209289
973	25.2276626
974	21.9343963
975	18.64113
976	15.3478637
977	11.9924603
978	9.941936
979	8.2020972
980	6.6486697
981	5.4680648
982	4.4738712
983	3.4175405
984	1.9883872
985	0.6835081
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0.4970968
1028	2.2369356
1029	5.3437906
1030	9.0720166
1031	12.42742
1032	15.1614524
1033	17.5226622
1034	19.6974607
1035	21.747985
1036	23.3635496
1037	24.6684287
1038	25.7868965
1039	27.0917756
1040	28.583066
1041	30.0743564
1042	31.3792355
1043	32.2491549
1044	32.6841146
1045	32.8083888
1046	32.8705259
1047	32.9948001
1048	33.1190743
1049	32.9948001
1050	32.4977033
1051	31.5035097
1052	30.3229048
1053	28.8937515
1054	27.2160498
1055	25.0412513
1056	22.369356
1057	19.0760897
1058	15.7828234
1059	13.048791
1060	10.3768957
1061	8.3263714
1062	7.456452
1063	7.5185891
1064	7.9535488
1065	9.6933876
1066	12.3652829
1067	14.5400814
1068	15.2857266
1069	15.6585492
1070	16.4041944
1071	17.8954848
1072	19.7595978
1073	21.9343963
1074	24.5441545
1075	27.6510095
1076	30.6335903
1077	33.1190743
1078	35.0453244
1079	36.5987519
1080	38.0279052
1081	38.8978246
1082	39.146373
1083	38.8356875
1084	37.8414939
1085	36.8473003
1086	36.4123406
1087	36.4123406
1088	36.4744777
1089	36.5366148
1090	36.5366148
1091	36.5366148
1092	36.7230261
1093	37.3443971
1094	38.3385907
1095	39.146373
1096	39.5813327
1097	39.7056069
1098	39.4570585
1099	38.7114133
1100	37.4686713
1101	36.5987519
1102	36.2880664
1103	36.5366148
1104	37.4065342
1105	38.7114133
1106	39.7056069
1107	40.0784295
1108	40.0162924
1109	39.4570585
1110	38.525002
1111	38.0279052
1112	38.0900423
1113	38.8978246
1114	40.5755263
1115	42.253228
1116	43.1231474
1117	43.3095587
1118	43.0610103
1119	42.3153651
1120	41.5697199
1121	41.1347602
1122	40.8240747
1123	40.3269779
1124	39.2706472
1125	37.4686713
1126	34.6725018
1127	31.3792355
1128	28.0859692
1129	24.9169771
1130	22.4936302
1131	20.4431059
1132	18.5168558
1133	16.5284686
1134	14.291533
1135	12.0545974
1136	10.1283473
1137	9.0720166
1138	8.8234682
1139	8.8856053
1140	9.0720166
1141	9.3827021
1142	10.1904844
1143	11.8681861
1144	13.9808475
1145	15.1614524
1146	15.4100008
1147	14.1051217
1148	10.8118554
1149	8.5749198
1150	7.456452
1151	7.456452
1152	7.456452
1153	8.6370569
1154	11.6817748
1155	15.5964121
1156	18.5168558
1157	21.0023398
1158	23.7363722
1159	26.9675014
1160	30.3850419
1161	33.4297598
1162	35.9152438
1163	38.2143165
1164	40.389115
1165	42.5017764
1166	44.4901636
1167	45.360083
1168	46.1678653
1169	47.3484702
1170	48.4048009
1171	49.3989945
1172	50.331051
1173	51.1388333
1174	51.8844785
1175	52.5679866
1176	53.1272205
1177	53.6243173
1178	54.1214141
1179	54.7427851
1180	55.3641561
1181	55.9855271
1182	56.544761
1183	56.9797207
1184	57.3525433
1185	57.6632288
1186	57.8496401
1187	57.8496401
1188	57.8496401
1189	57.8496401
1190	57.8496401
1191	57.8496401
1192	57.8496401
1193	57.8496401
1194	57.8496401
1195	57.8496401
1196	57.9117772
1197	57.9117772
1198	57.9739143
1199	58.2224627
1200	58.5331482
1201	59.030245
1202	59.5273418
1203	59.9001644
1204	60.1487128
1205	60.272987
1206	60.3351241
1207	60.3972612
1208	60.4593983
1209	60.5215354
1210	60.5215354
1211	60.5215354
1212	60.5215354
1213	60.4593983
1214	60.4593983
1215	60.4593983
1216	60.4593983
1217	60.3972612
1218	60.3351241
1219	60.272987
1220	60.2108499
1221	60.0865757
1222	59.9001644
1223	59.7137531
1224	59.4652047
1225	59.3409305
1226	59.2166563
1227	59.1545192
1228	59.030245
1229	58.9681079
1230	58.8438337
1231	58.7195595
1232	58.6574224
1233	58.6574224
1234	58.5952853
1235	58.5952853
1236	58.4710111
1237	58.3467369
1238	58.0360514
1239	57.6632288
1240	57.166132
1241	56.7311723
1242	56.2962126
1243	55.92339
